Silicon initial state from step_1.traj

512 atoms
1 atom types

0.00000000 21.72400000 xlo xhi
0.00000000 21.72400000 ylo yhi
0.00000000 21.72400000 zlo zhi

Masses

1 28.08550000

Atoms # atomic

1 1 1.3577500000000000e+00 4.0732499999999998e+00 1.3577500000000000e+00
2 1 0.0000000000000000e+00 0.0000000000000000e+00 2.7155000000000000e+00
3 1 1.3577500000000000e+00 1.3577500000000000e+00 4.0732499999999998e+00
4 1 0.0000000000000000e+00 2.7155000000000000e+00 0.0000000000000000e+00
5 1 4.0732499999999998e+00 4.0732499999999998e+00 4.0732499999999998e+00
6 1 2.7155000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
7 1 4.0732499999999998e+00 1.3577500000000000e+00 1.3577500000000000e+00
8 1 2.7155000000000000e+00 2.7155000000000000e+00 2.7155000000000000e+00
9 1 1.3577500000000000e+00 4.0732499999999998e+00 6.7887500000000003e+00
10 1 0.0000000000000000e+00 0.0000000000000000e+00 8.1464999999999996e+00
11 1 1.3577500000000000e+00 1.3577500000000000e+00 9.5042500000000008e+00
12 1 0.0000000000000000e+00 2.7155000000000000e+00 5.4310000000000000e+00
13 1 4.0732499999999998e+00 4.0732499999999998e+00 9.5042500000000008e+00
14 1 2.7155000000000000e+00 0.0000000000000000e+00 5.4310000000000000e+00
15 1 4.0732499999999998e+00 1.3577500000000000e+00 6.7887500000000003e+00
16 1 2.7155000000000000e+00 2.7155000000000000e+00 8.1464999999999996e+00
17 1 1.3577500000000000e+00 4.0732499999999998e+00 1.2219749999999999e+01
18 1 0.0000000000000000e+00 0.0000000000000000e+00 1.3577500000000001e+01
19 1 1.3577500000000000e+00 1.3577500000000000e+00 1.4935250000000000e+01
20 1 0.0000000000000000e+00 2.7155000000000000e+00 1.0862000000000000e+01
21 1 4.0732499999999998e+00 4.0732499999999998e+00 1.4935250000000000e+01
22 1 2.7155000000000000e+00 0.0000000000000000e+00 1.0862000000000000e+01
23 1 4.0732499999999998e+00 1.3577500000000000e+00 1.2219749999999999e+01
