# Time-averaged data for fix thermo_out
# TimeStep v_myTemp v_myPress v_myPE v_myKE v_myET
0 300 27014.3 -2767.36 19.8156 -2747.55
100 157.337 27438.8 -2757.92 10.3924 -2747.53
200 133.871 28051.4 -2756.37 8.84245 -2747.53
300 123.481 28248.3 -2755.68 8.15619 -2747.53
400 177.257 27897.8 -2759.24 11.7082 -2747.53
500 167.019 27346.1 -2758.56 11.0319 -2747.53
600 161.069 27776.8 -2758.17 10.6389 -2747.53
700 154.675 27346.2 -2757.75 10.2166 -2747.53
800 153.028 27522.8 -2757.64 10.1078 -2747.53
900 163.958 27687 -2758.36 10.8298 -2747.53
1000 144.681 27535.8 -2757.08 9.55646 -2747.53
1100 145.707 27190.1 -2757.15 9.62421 -2747.53
1200 160.918 27431.1 -2758.16 10.6289 -2747.53
1300 157.102 27698.5 -2757.91 10.3769 -2747.53
1400 149.398 27680.4 -2757.4 9.86806 -2747.53
1500 153.778 27202.9 -2757.69 10.1573 -2747.53
1600 148.168 27533.2 -2757.32 9.78677 -2747.53
1700 152.83 27559.9 -2757.62 10.0947 -2747.53
1800 141.94 27781.5 -2756.9 9.37541 -2747.53
1900 139.28 27695.6 -2756.73 9.19973 -2747.53
2000 157.762 27712 -2757.95 10.4205 -2747.53
2100 151.991 27559.2 -2757.57 10.0393 -2747.53
2200 150.263 27460 -2757.45 9.92519 -2747.53
2300 140.365 27347.9 -2756.8 9.27139 -2747.53
2400 152.032 27320.2 -2757.57 10.042 -2747.53
2500 141.323 27751.8 -2756.86 9.33466 -2747.53
2600 136.246 27422.5 -2756.53 8.99932 -2747.53
2700 139.163 27835.1 -2756.72 9.19195 -2747.53
2800 144.253 27280.9 -2757.06 9.52819 -2747.53
2900 153.653 27341.2 -2757.68 10.149 -2747.53
3000 147.019 27204 -2757.24 9.71091 -2747.53
3100 133.588 27753.7 -2756.35 8.82373 -2747.53
3200 150.411 27350.3 -2757.46 9.93497 -2747.53
3300 138.022 27744.1 -2756.64 9.11662 -2747.53
3400 150.994 27626 -2757.5 9.97342 -2747.53
3500 149.125 27328.9 -2757.38 9.84999 -2747.53
3600 155.289 27656.3 -2757.79 10.2571 -2747.53
3700 145.933 27521.1 -2757.17 9.63916 -2747.53
3800 137.025 28137.1 -2756.58 9.05075 -2747.53
3900 154.045 27315.7 -2757.71 10.175 -2747.53
4000 127.946 28006.3 -2755.98 8.45109 -2747.53
4100 150.364 27573.7 -2757.46 9.93186 -2747.53
4200 136.452 27521.9 -2756.54 9.01295 -2747.53
4300 146.347 27349.5 -2757.2 9.66649 -2747.53
4400 151.357 27280.8 -2757.53 9.99744 -2747.53
4500 130.53 27586.3 -2756.15 8.62178 -2747.53
4600 136.275 27425.4 -2756.53 9.00121 -2747.53
4700 151.154 27579.5 -2757.51 9.98401 -2747.53
4800 139.29 26861.7 -2756.73 9.20034 -2747.53
4900 136.654 27116.6 -2756.56 9.02626 -2747.53
5000 134.332 27527.7 -2756.4 8.87288 -2747.53
5100 131.695 27613.3 -2756.23 8.6987 -2747.53
5200 135.245 27466.3 -2756.46 8.93319 -2747.53
5300 145.909 27517.9 -2757.17 9.63758 -2747.53
5400 140.185 27266.9 -2756.79 9.2595 -2747.53
5500 136.003 27319.5 -2756.51 8.98323 -2747.53
5600 167.859 27653.7 -2758.62 11.0874 -2747.53
5700 134.845 27320.2 -2756.44 8.90679 -2747.53
5800 147.372 27187.9 -2757.26 9.73424 -2747.53
5900 154.381 27544 -2757.73 10.1972 -2747.53
6000 150.925 27713.9 -2757.5 9.96889 -2747.53
6100 140.709 27420.7 -2756.82 9.29408 -2747.53
6200 140.898 27462 -2756.84 9.30661 -2747.53
6300 149.373 27335.2 -2757.4 9.86636 -2747.53
6400 143.563 27350.1 -2757.01 9.48261 -2747.53
6500 159.464 27528.6 -2758.06 10.5329 -2747.53
6600 136.589 27513.5 -2756.55 9.02199 -2747.53
6700 149.454 27310.6 -2757.4 9.87173 -2747.53
6800 143.435 27280.2 -2757 9.47418 -2747.53
6900 157.098 27523.6 -2757.91 10.3767 -2747.53
7000 140.635 27539.5 -2756.82 9.28924 -2747.53
7100 151.607 27226 -2757.54 10.0139 -2747.53
7200 147.603 27660.5 -2757.28 9.74947 -2747.53
7300 165.864 27475.4 -2758.49 10.9556 -2747.53
7400 154.281 27509 -2757.72 10.1905 -2747.53
7500 149.37 27419.5 -2757.4 9.86616 -2747.53
7600 144.954 27551.9 -2757.1 9.57452 -2747.53
7700 144.053 27901.7 -2757.04 9.51496 -2747.53
7800 156.009 27470.5 -2757.83 10.3047 -2747.53
7900 156.071 27424.8 -2757.84 10.3088 -2747.53
8000 151.14 27206.1 -2757.51 9.98312 -2747.53
8100 143.871 27775.1 -2757.03 9.50299 -2747.53
